Ar Rahman, Yang Maha Pengasih
Ar Rahiim,Yang Maha Penyayang
Al Malik,Yang Maha Merajai/Memerintah
Al Quddus,Yang Maha Suci
As Salaam,Yang Maha Memberi Kesejahteraan
Al Mumin,Yang Maha Memberi Keamanan
Al Muhaimin,Yang Maha Pemelihara
Al Aziiz,Yang Maha Perkasa
Al Jabbar,Yang Memiliki Mutlak Kegagahan
Al Mutakabbir,Yang Maha Megah Yang Memiliki Kebesaran
Al Khaliq,Yang Maha Pencipta
Al Baari,Yang Maha Melepaskan (Membuat/Membentuk/Menyeimbangkan)
Al Mushawwir,Yang Maha Membentuk Rupa (makhluk-Nya)
Al Ghaffaar,Yang Maha Pengampun
Al Qahhaar,Yang Maha Memaksa
Al Wahhaab,Yang Maha Pemberi Karunia
Ar Razzaaq,Yang Maha Pemberi Rezeki
Al Fattaah,Yang Maha Pembuka Rahmat
Al Aliim,Yang Maha Mengetahui (Memiliki Ilmu)
Al Qaabidh,Yang Maha Menyempitkan (makhluk-Nya)
Al Baasith,Yang Maha Melapangkan (makhluk-Nya)
Al Khaafidh,Yang Maha Merendahkan (makhluk-Nya)
Ar Raafi,Yang Maha Meninggikan (makhluk-Nya)
Al Muizz,Yang Maha Memuliakan (makhluk-Nya)
Al Mudzil,Yang Maha Menghinakan (makhluk-Nya)
Al Samii,Yang Maha Mendengar
Al Bashiir,Yang Maha Melihat
Al Hakam,Yang Maha Menetapkan
Al Adl,Yang Maha Adil
Al Lathiif,Yang Maha Lembut
Al Khabiir,Yang Maha Mengenal
Al Haliim,Yang Maha Penyantun
Al Azhiim,Yang Maha Agung
Al Ghafuur,Yang Maha Pengampun
As Syakuur,Yang Maha Pembalas Budi (Menghargai)
Al Aliy,Yang Maha Tinggi
Al Kabiir,Yang Maha Besar
Al Hafizh,Yang Maha Memelihara
Al Muqiit,Yang Maha Pemberi Kecukupan
Al Hasiib,Yang Maha Membuat Perhitungan
Al Jaliil,Yang Maha Mulia
Al Kariim,Yang Maha Mulia
Ar Raqiib,Yang Maha Mengawasi
Al Mujiib,Yang Maha Mengabulkan
Al Waasi,Yang Maha Luas
Al Hakiim,Yang Maha Maka Bijaksana
Al Waduud,Yang Maha Mengasihi
Al Majiid,Yang Maha Mulia
Al Baaits,Yang Maha Membangkitkan
As Syahiid,Yang Maha Menyaksikan
Al Haqq,Yang Maha Benar
Al Wakiil,Yang Maha Memelihara
Al Qawiyyu,Yang Maha Kuat
Al Matiin,Yang Maha Kokoh
Al Waliyy,Yang Maha Melindungi
Al Hamiid,Yang Maha Terpuji
Al Muhshii,Yang Maha Mengkalkulasi
Al Mubdi,Yang Maha Memulai
Al Muiid,Yang Maha Mengembalikan Kehidupan
Al Muhyii,Yang Maha Menghidupkan
Al Mumiitu,Yang Maha Mematikan
Al Hayyu,Yang Maha Hidup
Al Qayyuum,Yang Maha Mandiri
Al Waajid,Yang Maha Penemu
Al Maajid,Yang Maha Mulia
Al Wahiid,Yang Maha Tunggal
Al Ahad,Yang Maha Esa
As Shamad,Yang Maha Dibutuhkan - Tempat Meminta
Al Qaadir,Yang Maha Menentukan - Maha Menyeimbangkan
Al Muqtadir,Yang Maha Berkuasa
Al Muqaddim,Yang Maha Mendahulukan
Al Muakkhir,Yang Maha Mengakhirkan
Al Awwal,Yang Maha Awal
Al Aakhir,Yang Maha Akhir
Az Zhaahir,Yang Maha Nyata
Al Baathin,Yang Maha Ghaib
Al Waali,Yang Maha Memerintah
Al Mutaaalii,Yang Maha Tinggi
Al Barri,Yang Maha Penderma
At Tawwaab,Yang Maha Penerima Tobat
Al Muntaqim,Yang Maha Pemberi Balasan
Al Afuww,Yang Maha Pemaaf
Ar Rauuf,Yang Maha Pengasuh
Malikul Mulk,Yang Maha Penguasa Kerajaan (Semesta)
Dzul Jalaali Wal Ikraam,Yang Maha Pemilik Kebesaran dan Kemuliaan
Al Muqsith,Yang Maha Pemberi Keadilan
Al Jamii,Yang Maha Mengumpulkan
Al Ghaniyy,Yang Maha Kaya
Al Mughnii,Yang Maha Pemberi Kekayaan
Al Maani,Yang Maha Mencegah
Ad Dhaar,Yang Maha Penimpa Kemudharatan
An Nafii,Yang Maha Memberi Manfaat
An Nuur,Yang Maha Bercahaya (Menerangi/Memberi Cahaya)
Al Haadii,Yang Maha Pemberi Petunjuk
Al Baadii,Yang Indah Tidak Mempunyai Banding
Al Baaqii,Yang Maha Kekal
Al Waarits,Yang Maha Pewaris
Ar Rasyiid,Yang Maha Pandai
As Shabuur,Yang Maha Sabar
